"특성별(1)",특성별(2),2022,2022
"특성별(1)",특성별(2),알고있음,모름
"전체",소계,69.5,30.5
"성별",남자,60.6,39.4
"성별",여자,92.6,7.4
"연령별",30 ~ 39세이하,78.1,21.9
"연령별",40 ~ 49세이하,72.0,28.0
"연령별",50 ~ 59세이하,65.2,34.8
"연령별",60세이상,19.5,80.5
"국적별",한국인,69.5,30.5
"교육정도별",고졸,100.0,0.0
"교육정도별",대졸이상,74.6,25.4
"거처종류별",단독주택,70.6,29.4
"거처종류별",아파트,70.3,29.7
"거처종류별",연립/다세대/기타,66.4,33.6
"가구원수별",2인가구,74.9,25.1
"가구원수별",3인가구,72.1,27.9
"가구원수별",4인이상가구,76.3,23.7
"가구유형별",영유아가구,64.2,35.8
"가구유형별",아동가구,82.2,17.8
"가구유형별",청년가구,69.5,30.5
"가구유형별",중장년가구,60.2,39.8
"가구유형별",노인가구,69.7,30.3
"가구소득별",1000만원미만,32.7,67.3
"가구소득별",1000~3000만원미만,87.7,12.3
"가구소득별",3000~5000만원미만,100.0,0.0
"가구소득별",5000~1억원미만,67.3,32.7
"생활권별",동부,64.4,35.6
"생활권별",읍면부,76.6,23.4
"소득분위별",1분위,54.6,45.4
"소득분위별",2분위,88.3,11.7
"소득분위별",3분위,100.0,0.0
"소득분위별",4분위,87.7,12.3
"소득분위별",5분위,71.0,29.0
"소득분위별",6분위,60.6,39.4
"소득분위별",7분위,53.7,46.3
